報社,投稿分類,投稿窗口,聯絡電話,字數限制
聯合報,民意論壇,"➢投稿信箱：udnip@udngroup.com
➢文章經採用，將同時刊登於民意論壇版及聯合新聞網（udn.com），
 並收錄於聯合知識庫（udndata.com）。 
➢來稿請附
 真實姓名：
 職業別：
 居住市縣鄉鎮：
 聯絡電話(白天及夜間)：",,無
,聯合副刊,➢投稿信箱：lianfu@udngroup.com,,無
,家庭婦女版,➢投稿信箱：family@udngroup.com,,700字內
,經濟日報,➢投稿信箱：edn@udngroup.com.tw,,
中國時報,"
時論廣場","➢投稿信箱：editor.ct@chinatimes.com.tw
➢本版內容將刊於中時電子報（www.chinatimes.com），
 並收錄於中時電子報資料庫，不另奉酬。
➢來稿請附
 真實姓名：
 夜間聯絡電話：
 職業：
 專業背景：
 身分證字號：
 通訊及戶籍地址(包括區里鄰)：
 郵局帳號(限作者本人)：",,稿件以800～1100字為宜
兩岸跨境新聞網,Hito News,"➢投稿信箱：bioem899@gmail.com
➢聯絡人：
 總編輯_謝金龍/0981-738665
 主編_孟憲玉/0926-002126
 記者_李婉如/0918-385971
 記者_蔡佳葳/0901-303393",,無
Yahoo奇摩新聞,觀點發聲,"➢投稿信箱：ynews2016@yahoo.com.tw
➢稿件可能於Yahoo網站(包括手機版網站)、Yahoo行動應用程式、
 Yahoo網站於其他社群平台所註冊帳號之頁面刊載
➢主旨欄位加註「Yahoo奇摩新聞《觀點發聲》投稿」
➢來稿請附
 真實姓名：
 聯絡電話：
 電子信箱：",,稿件文長以不少於600字為宜
奧丁丁新聞,OwlNews,➢投搞信箱：mediapartner@owlting.com、support@owlting.com, +886-2-7727-6533,無
台北市新聞網,,➢張貼新聞稿網址：https://tnews.cc/02/default.asp,,無
照生新聞,TNC,➢新聞採訪信箱：tncnews119@gmail.com,(02) 2932-2236,無
台灣TB新聞網,,"➢投搞信箱：tbnews520@gmail.com
➢投稿視同同意台灣TB新聞網無償運用於包括但不限於台灣TB新聞網、
 臉書粉絲專頁，以及與本站有合作關係之各入口網站、網路新聞媒體及實體報紙。
➢來稿請附
真實姓名：
身分(或職業)：
聯絡電話：",(02)2331-1691,無
台灣好報,,"➢社長/董事長/召集人： 高文雄/宋智忱
➢投稿信箱： newstaiwan101@gmail.com",(02)86632813,無
國立教育廣播電台,,"➢投稿、邀請信箱：nernews@ner.gov.tw
➢聯絡人：洪小姐",(02)23880600#637、631,無
新頭條,TheHubNews,➢投稿、邀請信箱： post@thehubnews.net,無聯絡電話,無
自由時報,自由廣場,"➢投稿信箱：forum@libertytimes.com.tw
➢來稿請附
真實姓名：
身分證字號：
職業：
通訊地址及戶籍地址（包括區里鄰）：
夜間聯絡電話：
銀行帳號（註明分行行名）：
E-mail帳號：",,文長800字以內為宜，400字短稿
,自由共和國,"➢投稿信箱：republic@libertytimes.com.tw
➢來稿請附：
真實姓名：
身分證字號：
職業：
通訊地址及戶籍地址（包括區里鄰）：
夜間聯絡電話：
銀行帳號（註明分行行名）：
E-mail帳號：",,文長1000字以內為宜，400字短稿
,自由開講,"➢投稿信箱：LTNTALK@gmail.com
➢來稿請附：
真實姓名：
職業：
聯絡電話：
E-mail帳號：",,文長700字內為優
,健康醫療,"➢投稿信箱：health@libertytimes.com.tw
➢來稿請附：
服務單位：
職銜：
聯絡電話：",,歡迎醫療專業人員提供700字內衛教稿件
,家庭親子,"➢投稿信箱：family@libertytimes.com.tw
➢來稿請附：
真實姓名：
聯絡電話：
E-mail帳號：",,
,自由副刊,"➢投稿信箱：reading@libertytimes.com.tw
➢來稿請附：
真實姓名：
聯絡電話：
E-mail帳號：",,信件主旨註明投稿
國語日報,語文教育版,➢投稿信箱：edit13-3@mdnkids.com,,限1200字以內
,國民教育版,➢投稿信箱：edit13-4@mdnkids.com,,
,特殊教育版,➢投稿信箱：edit13-7@mdnkids.com,,文長800～1300字
青年日報,新聞投稿,"➢投稿信箱：report@ydn.com.tw
➢來稿請附：
真實姓名：
身分證字號：
通訊及完整戶籍地址（包括里或村、鄰）：
電話（辦公室及住家）：
銀行（註明分行）或郵局帳號：
電子信箱：",,無
,青年論壇,➢投稿信箱：editor@ydn.com.tw,,無
人間福報,公眾園地,"➢投稿信箱：mtn11@merit-times.com.tw
➢來稿請附：
真實姓名：
身分證字號：
職業：
通訊地址：
戶籍地址：
聯絡電話：
金融機構名稱（含分行、支局）和帳號：",,投稿請勿超過八百字
中華日報,中華副刊,➢投稿信箱：cdnart123@gmail.com,,無
